Company,Product,OS,Ram
Acer,"Swift 3","Windows 10",8
Dell,"Inspiron 3567","Windows 10",8
Dell,"XPS 13","Windows 10",8
Lenovo,"Legion Y520-15IKBN","Windows 10",8
Dell,"Inspiron 5379","Windows 10",8
HP,"15-BS101nv (i7-8550U/8GB/256GB/FHD/W10)","Windows 10",8
Dell,"Inspiron 5570","Windows 10",8
Dell,"Latitude 5590","Windows 10",8
HP,"ProBook 470","Windows 10",8
Dell,"Inspiron 5770","Windows 10",8
HP,"ProBook 450","Windows 10",8
Asus,"Rog Strix","Windows 10",8
Acer,"Aspire A515-51G","Windows 10",8
HP,"ProBook 430","Windows 10",8
Dell,"Inspiron 3576","Windows 10",8
Dell,"Vostro 5471","Windows 10",8
Asus,"UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10)","Windows 10",8
HP,"250 G6","Windows 10",8
Dell,"Inspiron 5370","Windows 10",8
Dell,"Inspiron 5570","Windows 10",8
MSI,"GL72M 7RDX","Windows 10",8
Acer,"Aspire E5-475","Windows 10",8
Asus,"FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce","Windows 10",8
Dell,"Inspiron 5570","Windows 10",8
HP,"ProBook 470","Windows 10",8
Dell,"Latitude 5590","Windows 10",8
HP,"ProBook 440","Windows 10",8
HP,"Pavilion 15-CK000nv","Windows 10",8
HP,"250 G6","Windows 10",8
Dell,"XPS 13","Windows 10",8
Asus,"FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon","Windows 10",8
Acer,"Aspire 5","Windows 10",8
Dell,"Inspiron 7577","Windows 10",8
Asus,"Zenbook UX430UA","Windows 10",8
Acer,"Spin 5","Windows 10",8
HP,"15-bs017nv (i7-7500U/8GB/256GB/Radeon","Windows 10",8
HP,"Envy 13-ad009n","Windows 10",8
Asus,"UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce","Windows 10",8
Lenovo,"Thinkpad T470","Windows 10",8
Dell,"XPS 13","Windows 10",8
Lenovo,"ThinkPad Yoga","Windows 10",8
Dell,"XPS 13","Windows 10",8
HP,"Spectre x360","Windows 10",8
HP,"Probook 440","Windows 10",8
Dell,"Inspiron 7570","Windows 10",8
Asus,"VivoBook S15","Windows 10",8
HP,"Probook 440","Windows 10",8
HP,"ProBook 470","Windows 10",8
Dell,"Inspiron 5567","Windows 10",8
Acer,"Swift 3","Windows 10",8
HP,"15-BS078nr (i7-7500U/8GB/1TB/W10)","Windows 10",8
HP,"Probook 440","Windows 10",8
Asus,"FX753VD-GC086T (i5-7300HQ/8GB/1TB","Windows 10",8
Lenovo,"ThinkPad E480","Windows 10",8
Asus,"ZenBook UX430UA","Windows 10",8
HP,"EliteBook Folio","Windows 10",8
Dell,"Inspiron 7567","Windows 10",8
Asus,"ZenBook Flip","Windows 10",8
Dell,"Inspiron 5579","Windows 10",8
Dell,"Inspiron 3576","Windows 10",8
Dell,"Inspiron 5577","Windows 10",8
Acer,"Aspire A517-51G","Windows 10",8
Huawei,"MateBook X","Windows 10",8
HP,"ProBook 470","Windows 10",8
Dell,"Inspiron 3567","Windows 10",8
Lenovo,"V310-15IKB (i5-7200U/8GB/1TB","Windows 10",8
HP,"Spectre x360","Windows 10",8
Dell,"XPS 13","Windows 10",8
Toshiba,"Satellite Pro","Windows 10",8
Acer,"Swift 7","Windows 10",8
Dell,"Inspiron 5770","Windows 10",8
Dell,"Inspiron 5379","Windows 10",8
HP,"ProBook 470","Windows 10",8
HP,"ProBook 430","Windows 10",8
HP,"Probook 470","Windows 10",8
Acer,"Aspire E5-576G","Windows 10",8
Dell,"XPS 13","Windows 10",8
Dell,"XPS 13","Windows 10",8
Lenovo,"IdeaPad 320-15IKBN","Windows 10",8
Huawei,"MateBook X","Windows 10",8
Dell,"Inspiron 5370","Windows 10",8
HP,"Probook 440","Windows 10",8
Dell,"Latitude 5490","Windows 10",8
Lenovo,"Yoga 520-14IKB","Windows 10",8
Toshiba,"Portege Z30-C-16L","Windows 10",8
HP,"ProBook 450","Windows 10",8
Acer,"Aspire E5-576G","Windows 10",8
Asus,"Vivobook X541UV-DM1217T","Windows 10",8
Asus,"K756UX-T4340T (i5-7200U/8GB/500GB","Windows 10",8
HP,"ZBook 15u","Windows 10",8
Dell,"Vostro 5468","Windows 10",8
Acer,"Aspire R7","Windows 10",8
Acer,"Nitro AN515-51","Windows 10",8
Lenovo,"IdeaPad 320-15ISK","Windows 10",8
Asus,"VivoBook Pro","Windows 10",8
Dell,"Inspiron 5577","Windows 10",8
Lenovo,"Yoga 910-13IKB","Windows 10",8
Dell,"Inspiron 5570","Windows 10",8
HP,"15-bs015dx (i5-7200U/8GB/1TB/W10)","Windows 10",8
Dell,"Inspiron 5579","Windows 10",8
Lenovo,"Yoga 920-13IKB","Windows 10",8
Dell,"Vostro 5370","Windows 10",8
HP,"15-BW094nd (A6-9220/8GB/128GB/W10)","Windows 10",8
Lenovo,"Yoga 720-15IKB","Windows 10",8
Dell,"Inspiron 5770","Windows 10",8
Dell,"Inspiron 3567","Windows 10",8
Dell,"Inspiron 5579","Windows 10",8
Asus,"ZenBook Flip","Windows 10",8
HP,"Probook 470","Windows 10",8
Lenovo,"V330-15IKB (i7-8550U/8GB/256GB/FHD/W10)","Windows 10",8
Toshiba,"Satellite Pro","Windows 10",8
Acer,"Aspire A515-51G","Windows 10",8
Lenovo,"Legion Y520-15IKBN","Windows 10",8
Acer,"Aspire A517-51G","Windows 10",8
Lenovo,"Thinkpad T570","Windows 10",8
Asus,"VivoBook S15","Windows 10",8
Asus,"FX753VD-GC071T (i7-7700HQ/8GB/1TB/GeForce","Windows 10",8
HP,"17-BS037cl (i3-6006U/8GB/1TB/W10)","Windows 10",8
Dell,"XPS 15","Windows 10",8
Lenovo,"V330-15IKB (i5-8250U/8GB/256GB/FHD/W10)","Windows 10",8
Lenovo,"Legion Y720-15IKB","Windows 10",8
Asus,"GL553VE-FY082T (i7-7700HQ/8GB/1TB","Windows 10",8
Toshiba,"Satellite Pro","Windows 10",8
Lenovo,"IdeaPad 320-15IKB","Windows 10",8
Lenovo,"IdeaPad 720S-13IKB","Windows 10",8
Acer,"ES1-523-84K7 (A8-7410/8GB/256GB/FHD/W10)","Windows 10",8
Dell,"Inspiron 5570","Windows 10",8
HP,"ProBook 640","Windows 10",8
HP,"Elitebook 840","Windows 10",8
Asus,"ZenBook UX410UA-GV183T","Windows 10",8
HP,"ProBook 450","Windows 10",8
Acer,"Aspire 5","Windows 10",8
Asus,"VivoBook S15","Windows 10",8
HP,"Elitebook 820","Windows 10",8
MSI,"GL72M 7REX","Windows 10",8
Toshiba,"Satellite Pro","Windows 10",8
Asus,"UX510UX-CN269T (i7-7500U/8GB/256GB","Windows 10",8
Asus,"FX553VD-FY647T (i7-7700HQ/8GB/256GB/GeForce","Windows 10",8
HP,"EliteBook 840","Windows 10",8
Dell,"Inspiron 7570","Windows 10",8
HP,"Elitebook 850","Windows 10",8
Dell,"Inspiron 7570","Windows 10",8
HP,"ProBook 450","Windows 10",8
Dell,"XPS 13","Windows 10",8
Dell,"Inspiron 5570","Windows 10",8
HP,"Elitebook 850","Windows 10",8
MSI,"GP72MVR 7RFX","Windows 10",8
HP,"Zbook 15","Windows 10",8
Dell,"Inspiron 5570","Windows 10",8
Dell,"Inspiron 7577","Windows 10",8
Dell,"Inspiron 3567","Windows 10",8
Dell,"Latitude 7480","Windows 10",8
Asus,"Zenbook UX410UA-GV027T","Windows 10",8
HP,"250 G6","Windows 10",8
HP,"15-AY023na (N3710/8GB/2TB/W10)","Windows 10",8
Dell,"Inspiron 5770","Windows 10",8
Dell,"Inspiron 5567","Windows 10",8
HP,"Elitebook 1040","Windows 10",8
Dell,"Inspiron 5379","Windows 10",8
HP,"Omen 17-w212nv","Windows 10",8
Asus,"ROG Strix","Windows 10",8
Lenovo,"IdeaPad 720S-14IKB","Windows 10",8
Lenovo,"Thinkpad X1","Windows 10",8
Dell,"Precision 3510","Windows 10",8
Dell,"Precision 5520","Windows 10",8
Asus,"Rog GL753VD-GC042T","Windows 10",8
MSI,"Leopard GP72M","Windows 10",8
Lenovo,"ThinkPad E580","Windows 10",8
Lenovo,"ThinkPad L470","Windows 10",8
Dell,"Precision M5520","Windows 10",8
Lenovo,"ThinkPad E580","Windows 10",8
Asus,"Zenbook 3","Windows 10",8
Dell,"Latitude 7480","Windows 10",8
Lenovo,"ThinkPad P51","Windows 10",8
Lenovo,"Thinkpad T470p","Windows 10",8
Acer,"Aspire R7","Windows 10",8
Asus,"ZenBook Flip","Windows 10",8
HP,"EliteBook 1040","Windows 10",8
Dell,"Inspiron 3567","Windows 10",8
Lenovo,"ThinkPad E480","Windows 10",8
HP,"ProBook 650","Windows 10",8
Dell,"Inspiron 7577","Windows 10",8
Dell,"Inspiron 5570","Windows 10",8
Lenovo,"Thinkpad 13","Windows 10",8
Asus,"Rog Strix","Windows 10",8
Lenovo,"IdeaPad 320-15AST","Windows 10",8
Lenovo,"ThinkPad X270","Windows 10",8
HP,"Omen 15-AX205na","Windows 10",8
Dell,"Latitude 5480","Windows 10",8
Dell,"Precision 3520","Windows 10",8
MSI,"GV62 7RD-1686NL","Windows 10",8
HP,"15-bs024nv (i5-7200U/8GB/128GB/W10)","Windows 10",8
HP,"ProBook 650","Windows 10",8
Lenovo,"ThinkPad T470","Windows 10",8
Dell,"Inspiron 5570","Windows 10",8
Dell,"Alienware 17","Windows 10",8
HP,"17-BS092ND (i3-6006U/8GB/256GB/W10)","Windows 10",8
Asus,"Pro P2540UA-AB51","Windows 10",8
Lenovo,"Thinkpad P51","Windows 10",8
Dell,"Inspiron 5570","Windows 10",8
HP,"Spectre x360","Windows 10",8
HP,"ZBook 15u","Windows 10",8
Dell,"Latitude 7390","Windows 10",8
Dell,"Latitude E5470","Windows 10",8
Dell,"Precision M5520","Windows 10",8
Lenovo,"Thinkpad T470","Windows 10",8
Dell,"Inspiron 3576","Windows 10",8
Toshiba,"Portege X30-D-10J","Windows 10",8
Dell,"Inspiron 7570","Windows 10",8
Lenovo,"ThinkPad E480","Windows 10",8
Lenovo,"Thinkpad E570","Windows 10",8
Asus,"VivoBook Pro","Windows 10",8
Acer,"Aspire 5","Windows 10",8
Lenovo,"Thinkpad X260","Windows 10",8
Lenovo,"Ideapad 520-15IKBR","Windows 10",8
HP,"EliteBook 840","Windows 10",8
Lenovo,"ThinkPad 13","Windows 10",8
Lenovo,"ThinkPad L570","Windows 10",8
HP,"15-BS026nv (i5-7200U/8GB/256GB/Radeon","Windows 10",8
Lenovo,"Yoga 920-13IKB","Windows 10",8
Lenovo,"ThinkPad 13","Windows 10",8
Asus,"ZenBook UX510UX-CN211T","Windows 10",8
HP,"Envy 13-AB002nv","Windows 10",8
Dell,"XPS 13","Windows 10",8
Dell,"Vostro 5568","Windows 10",8
HP,"Probook 450","Windows 10",8
Lenovo,"Legion Y720-15IKB","Windows 10",8
HP,"Spectre X360","Windows 10",8
Dell,"Latitude 5480","Windows 10",8
Dell,"Latitude 5580","Windows 10",8
Toshiba,"Satellite Pro","Windows 10",8
Asus,"Zenbook UX510UW-FI095T","Windows 10",8
Asus,"ROG Strix","Windows 10",8
Dell,"Latitude 5580","Windows 10",8
Dell,"Inspiron 5570","Windows 10",8
Lenovo,"Thinkpad E470","Windows 10",8
Dell,"XPS 13","Windows 10",8
HP,"Envy 13-AB020nr","Windows 10",8
Lenovo,"ThinkPad T570","Windows 10",8
Dell,"Latitude 5580","Windows 10",8
HP,"17-X047na (i3-6006U/8GB/1TB/W10)","Windows 10",8
HP,"ProBook 470","Windows 10",8
Lenovo,"Thinkpad P71","Windows 10",8
Asus,"FX553VD-DM627T (i5-7300HQ/8GB/1TB","Windows 10",8
Dell,"XPS 13","Windows 10",8
Fujitsu,"Lifebook A557","Windows 10",8
HP,"ZBook 17","Windows 10",8
HP,"14-am079na (N3710/8GB/2TB/W10)","Windows 10",8
Lenovo,"Thinkpad E570","Windows 10",8
Dell,"Latitude 5580","Windows 10",8
Asus,"ROG Strix","Windows 10",8
Asus,"TP501UA-CJ131T (i5-7200U/8GB/1TB/W10)","Windows 10",8
Lenovo,"IdeaPad 110-15ISK","Windows 10",8
Lenovo,"ThinkPad Yoga","Windows 10",8
Lenovo,"Thinkpad T470p","Windows 10",8
Dell,"Latitude 5289","Windows 10",8
Dell,"Precision 3520","Windows 10",8
HP,"EliteBook 850","Windows 10",8
Toshiba,"Tecra Z50-C-144","Windows 10",8
Lenovo,"Yoga 720-15IKB","Windows 10",8
Asus,"FX753VD-GC007T (i7-7700HQ/8GB/1TB","Windows 10",8
HP,"EliteBook 850","Windows 10",8
HP,"ProBook 650","Windows 10",8
Fujitsu,"LifeBook A557","Windows 10",8
Lenovo,"IdeaPad 320-15IKB","Windows 10",8
Dell,"XPS 15","Windows 10",8
Asus,"X541NA-GO414T (N3350/8GB/1TB/W10)","Windows 10",8
Asus,"VivoBook Pro","Windows 10",8
Dell,"XPS 13","Windows 10",8
Lenovo,"Thinkpad Yoga","Windows 10",8
Lenovo,"Legion Y520-15IKBN","Windows 10",8
HP,"17-AK091ND (A9-9420/8GB/1TB/W10)","Windows 10",8
Acer,"Swift 3","Windows 10",8
Toshiba,"Portege Z30-C-16J","Windows 10",8
Lenovo,"Thinkpad X270","Windows 10",8
Dell,"XPS 13","Windows 10",8
MSI,"GL62M 7REX","Windows 10",8
Toshiba,"Tecra A50-D-11M","Windows 10",8
Dell,"Inspiron 5570","Windows 10",8
Lenovo,"IdeaPad Y700-15ISK","Windows 10",8
Dell,"Latitude E7470","Windows 10",8
MSI,"GP72VR Leopard","Windows 10",8
Dell,"Latitude 3580","Windows 10",8
HP,"15-bs012nv (i7-7500U/8GB/1TB/Radeon","Windows 10",8
Toshiba,"Tecra Z50-D-10E","Windows 10",8
Lenovo,"V310-15ISK (i5-7200U/8GB/1TB","Windows 10",8
Lenovo,"Yoga 720-13IKB","Windows 10",8
Asus,"Zenbook 3","Windows 10",8
LG,"Gram 15Z975","Windows 10",8
MSI,"GV62M 7RD","Windows 10",8
Lenovo,"Yoga 730","Windows 10",8
HP,"ZBook 17","Windows 10",8
Lenovo,"ThinkPad X1","Windows 10",8
Toshiba,"Satellite Pro","Windows 10",8
Dell,"Inspiron 5577","Windows 10",8
Lenovo,"IdeaPad 320-15ABR","Windows 10",8
Dell,"Vostro 5568","Windows 10",8
Acer,"Spin 5","Windows 10",8
Lenovo,"Thinkpad T460p","Windows 10",8
Lenovo,"Legion Y520-15IKBN","Windows 10",8
Lenovo,"Thinkpad E470","Windows 10",8
Dell,"Latitude 5580","Windows 10",8
HP,"ProBook 470","Windows 10",8
Lenovo,"ThinkPad X1","Windows 10",8
HP,"Pavilion X360","Windows 10",8
Lenovo,"ThinkPad T470s","Windows 10",8
MSI,"GL72M 7REX","Windows 10",8
Dell,"Inspiron 5570","Windows 10",8
Lenovo,"ThinkPad 13","Windows 10",8
Dell,"Inspiron 5379","Windows 10",8
Dell,"Inspiron 7560","Windows 10",8
Dell,"Vostro 3568","Windows 10",8
Toshiba,"Tecra X40-D-10G","Windows 10",8
Lenovo,"Flex 5","Windows 10",8
HP,"250 G6","Windows 10",8
Dell,"Latitude 5480","Windows 10",8
HP,"EliteBook 850","Windows 10",8
Lenovo,"Yoga 900-13ISK","Windows 10",8
HP,"15-cb003na (i5-7300HQ/8GB/1TB","Windows 10",8
Lenovo,"Legion Y520-15IKBN","Windows 10",8
Asus,"Zenbook UX330UA-AH5Q","Windows 10",8
Samsung,"Notebook 9","Windows 10",8
Dell,"Inspiron 7567","Windows 10",8
Asus,"Vivobook Max","Windows 10",8
MSI,"GL62M (i5-7300HQ/8GB/1TB","Windows 10",8
Dell,"Inspiron 7567","Windows 10",8
Asus,"FX502VM-DM560T (i7-7700HQ/8GB/1TB","Windows 10",8
Lenovo,"ThinkPad Yoga","Windows 10",8
Lenovo,"Yoga 510-15IKB","Windows 10",8
Lenovo,"ThinkPad X1","Windows 10",8
Dell,"Latitude 3580","Windows 10",8
Lenovo,"Yoga 910-13IKB","Windows 10",8
Dell,"Vostro 5568","Windows 10",8
HP,"ZBook 17","Windows 10",8
Asus,"Pro P2540UA-XS51","Windows 10",8
Dell,"XPS 13","Windows 10",8
Dell,"XPS 15","Windows 10",8
HP,"EliteBook 820","Windows 10",8
HP,"15-ba043na (A12-9700P/8GB/2TB/W10)","Windows 10",8
Samsung,"Notebook 9","Windows 10",8
Dell,"Vostro 5568","Windows 10",8
Dell,"Vostro 3568","Windows 10",8
Lenovo,"Thinkpad T470s","Windows 10",8
Lenovo,"Thinkpad X1","Windows 10",8
MSI,"GL62M 7RD","Windows 10",8
Lenovo,"ThinkPad X1","Windows 10",8
Asus,"ZenBook Flip","Windows 10",8
Acer,"Swift 3","Windows 10",8
Lenovo,"Thinkpad T460","Windows 10",8
Lenovo,"ThinkPad T470s","Windows 10",8
Asus,"R558UA-DM966T (i5-7200U/8GB/128GB/FHD/W10)","Windows 10",8
HP,"ProBook 470","Windows 10",8
Dell,"Vostro 3568","Windows 10",8
Asus,"ZenBook UX310UQ-GL026T","Windows 10",8
HP,"EliteBook x360","Windows 10",8
HP,"EliteBook 840","Windows 10",8
Lenovo,"ThinkPad T470p","Windows 10",8
Asus,"K556UR-DM621T (i7-7500U/8GB/256GB/GeForce","Windows 10",8
Dell,"Latitude 5580","Windows 10",8
HP,"EliteBook x360","Windows 10",8
Dell,"Inspiron 5368","Windows 10",8
Lenovo,"ThinkPad E570","Windows 10",8
HP,"EliteBook 850","Windows 10",8
Toshiba,"Port̩g̩ Z30-C-188","Windows 10",8
Lenovo,"ThinkPad Yoga","Windows 10",8
Acer,"TMX349-G2-M-50FS (i5-7200U/8GB/256GB/FHD/W10)","Windows 10",8
Dell,"Precision 3520","Windows 10",8
Toshiba,"Tecra A50-D-11D","Windows 10",8
Dell,"Latitude 7280","Windows 10",8
Xiaomi,"Mi Notebook","Windows 10",8
Lenovo,"IdeaPad 510-15ISK","Windows 10",8
Samsung,"Notebook 9","Windows 10",8
Lenovo,"ThinkPad T470s","Windows 10",8
Toshiba,"Portege X30-D-10V","Windows 10",8
HP,"ProBook 450","Windows 10",8
Dell,"Latitude 5580","Windows 10",8
Dell,"XPS 13","Windows 10",8
Lenovo,"ThinkPad X1","Windows 10",8
Lenovo,"ThinkPad T570","Windows 10",8
HP,"Elitebook 820","Windows 10",8
Lenovo,"IdeaPad Y700-15ISK","Windows 10",8
LG,"Gram 14Z970","Windows 10",8
Dell,"Latitude 5480","Windows 10",8
HP,"Elitebook Folio","Windows 10",8
HP,"ProBook 450","Windows 10",8
HP,"Probook 430","Windows 10",8
MSI,"GL62M 7RD","Windows 10",8
HP,"EliteBook 850","Windows 10",8
HP,"Envy 13-AB077cl","Windows 10",8
Lenovo,"ThinkPad Yoga","Windows 10",8
Lenovo,"Thinkpad X270","Windows 10",8
HP,"Probook 650","Windows 10",8
HP,"EliteBook 820","Windows 10",8
MSI,"GP62M Leopard","Windows 10",8
Dell,"Latitude 7480","Windows 10",8
HP,"Omen 17-W006na","Windows 10",8
Toshiba,"Tecra A50-C-1ZV","Windows 10",8
Lenovo,"Yoga 700-11ISK","Windows 10",8
Dell,"Latitude 7280","Windows 10",8
HP,"ZBook Studio","Windows 10",8
Dell,"Latitude 7480","Windows 10",8
Lenovo,"Thinkpad T460","Windows 10",8
Dell,"XPS 13","Windows 10",8
Dell,"XPS 13","Windows 10",8
Toshiba,"Portege Z30-C-16Z","Windows 10",8
Lenovo,"ThinkPad X270","Windows 10",8
Toshiba,"Portege X20W-D-10V","Windows 10",8
HP,"ProBook 450","Windows 10",8
Dell,"Latitude E7470","Windows 10",8
Toshiba,"Tecra A40-C-1DF","Windows 10",8
HP,"Probook 450","Windows 10",8
HP,"Probook 450","Windows 10",8
Lenovo,"Legion Y520-15IKBN","Windows 10",8
Dell,"Inspiron 5567","Windows 10",8
Dell,"Latitude 5480","Windows 10",8
HP,"EliteBook Folio","Windows 10",8
Lenovo,"ThinkPad T560","Windows 10",8
Dell,"Inspiron 5378","Windows 10",8
Asus,"ZenBook UX310UA-FB485T","Windows 10",8
HP,"Spectre 13-V111dx","Windows 10",8
HP,"EliteBook 840","Windows 10",8
Acer,"Nitro 5","Windows 10",8
HP,"ENVY -","Windows 10",8
HP,"ProBook 440","Windows 10",8
Dell,"Inspiron 7567","Windows 10",8
HP,"EliteBook 840","Windows 10",8
Toshiba,"Portege A30-C-1CZ","Windows 10",8
Toshiba,"Tecra Z40-C-12Z","Windows 10",8
HP,"EliteBook 1040","Windows 10",8
Toshiba,"Port̩g̩ Z30-C-16K","Windows 10",8
HP,"Spectre 13-V100nv","Windows 10",8
HP,"ProBook 440","Windows 10",8
Dell,"Latitude E5570","Windows 10",8
Dell,"XPS 13","Windows 10",8
HP,"Probook 470","Windows 10",8
MSI,"GL72M 7RDX","Windows 10",8
HP,"EliteBook 850","Windows 10",8
HP,"EliteBook 820","Windows 10",8
Toshiba,"Tecra Z40-C-136","Windows 10",8
HP,"ProBook 440","Windows 10",8
Lenovo,"Thinkpad L560","Windows 10",8
HP,"EliteBook 850","Windows 10",8
HP,"Noteb Pav","Windows 10",8
Dell,"Inspiron 5578","Windows 10",8
Acer,"Aspire ES1-523","Windows 10",8
HP,"ProBook 450","Windows 10",8
Dell,"XPS 13","Windows 10",8
Dell,"Inspiron 5368","Windows 10",8
HP,"ProBook 430","Windows 10",8
Lenovo,"ThinkPad Yoga","Windows 10",8
Lenovo,"IdeaPad 300-17ISK","Windows 10",8
Lenovo,"Yoga 900S-12ISK","Windows 10",8
Dell,"Vostro 3568","Windows 10",8
Asus,"Rog GL702VM-GC354T","Windows 10",8
Acer,"Aspire F5-573G","Windows 10",8
Dell,"Inspiron 5567","Windows 10",8
MSI,"GS70 Stealth","Windows 10",8
MSI,"GE72 Apache","Windows 10",8
HP,"EliteBook 1030","Windows 10",8
HP,"Spectre Pro","Windows 10",8
Dell,"XPS 13","Windows 10",8
Razer,"Blade Stealth","Windows 10",8
Asus,"Rog GL752VW-T4308T","Windows 10",8
HP,"Spectre Pro","Windows 10",8
Lenovo,"ThinkPad Yoga","Windows 10",8
HP,"Omen -","Windows 10",8
HP,"15-bs078cl (i7-7500U/8GB/2TB/W10)","Windows 10",8
HP,"250 G6","Windows 10",8
Dell,"Inspiron 5567","Windows 10",8
MSI,"GP62M 7RDX","Windows 10",8
HP,"Spectre Pro","Windows 10",8
HP,"Spectre Pro","Windows 10",8
Dell,"Vostro 5568","Windows 10",8
Lenovo,"ThinkPad X1","Windows 10",8
Dell,"Inspiron 7567","Windows 10",8
Dell,"XPS 15","Windows 10",8
Lenovo,"B51-80 (i5-6200U/8GB/1008GB/Radeon","Windows 10",8
HP,"Spectre Pro","Windows 10",8
HP,"Pavilion 15-cb003nv","Windows 10",8
Lenovo,"IdeaPad 310-15ISK","Windows 10",8
Dell,"Inspiron 7567","Windows 10",8
Lenovo,"ThinkPad T570","Windows 10",8
MSI,"PL60 7RD","Windows 10",8
HP,"250 G5","Windows 10",8
Lenovo,"ThinkPad X1","Windows 10",8
Asus,"Rog GL552VW-DM201T","Windows 10",8
Lenovo,"Legion Y520-15IKBN","Windows 10",8
Dell,"Inspiron 7378","Windows 10",8
Asus,"FX502VM-DM105T (i7-6700HQ/8GB/1TB/GeForce","Windows 10",8
Dell,"Inspiron 5567","Windows 10",8
HP,"15-bs025nv (i5-7200U/8GB/256GB/W10)","Windows 10",8
Acer,"Aspire E5-774G","Windows 10",8
Dell,"Inspiron 7579","Windows 10",8
Lenovo,"IdeaPad Y700-15ISK","Windows 10",8
Acer,"SP714-51 (i7-7Y75/8GB/256GB/FHD/W10)","Windows 10",8
Lenovo,"Thinkpad T560","Windows 10",8
MSI,"GP62MVR 6RF","Windows 10",8
Dell,"XPS 13","Windows 10",8
MSI,"GL62M 7RDX","Windows 10",8
Dell,"Inspiron 3567","Windows 10",8
MSI,"GL62 6QF","Windows 10",8
Asus,"ZenBook UX310UA-WB71","Windows 10",8
Dell,"XPS 13","Windows 10",8
Lenovo,"ThinkPad L460","Windows 10",8
MSI,"GE62 Apache","Windows 10",8
Asus,"ZenBook UX305CA-UBM1","Windows 10",8
Lenovo,"IdeaPad Y700-15ISK","Windows 10",8
